id,type,platform,status,submitted_date,live_url,notes,last_attempt,agent_notes,verified,backlink_type
gbp,directory,Google Business Profile,live,2026-06-15,https://share.google/42PVJwliNNfCsHjjz,,,,,
bing-places,directory,Bing Places,submitted,2026-06-15,,,,,,
apple-business,directory,Apple Business Connect,pending,,,,2026-06-28,,,
yellow-pages-ca,directory,Yellow Pages Canada,live,,https://www.yellowpages.ca/bus/Ontario/Ground-Level-Contracting/102608529.html,pre-existing listing — claim owner and fix phone/website/description,,,drift,
canada411,directory,Canada411,pending,,,,2026-06-29,Pilot session started — awaiting human login and submit,,
homestars,directory,HomeStars,pending,,,,,,,
houzz,directory,Houzz Pro,pending,,,,,,,
barrie-chamber,directory,Barrie Chamber of Commerce,pending,,,,,,,
orillia-chamber,directory,Orillia & District Chamber of Commerce,pending,,,,,,,
bbb-central-ontario,directory,BBB Central Ontario,pending,,,,,,,
trustedpros,directory,TrustedPros,pending,,,,,,,
facebook,directory,Facebook Business Page,pending,,,,,,,
linkedin,directory,LinkedIn Company Page,pending,,,,,,,
yelp-ca,directory,Yelp Canada,pending,,,,,,,
brownbook,directory,Brownbook.net,pending,,,,,,,
cylex-ca,directory,Cylex Canada,pending,,,,,,,
hotfrog-ca,directory,Hotfrog Canada,pending,,,,,,,
iglobal,directory,iGlobal,pending,,,,,,,
cybo,directory,Cybo,pending,,,,,,,
manta,directory,Manta,pending,,,,,,,
ogca,directory,Ontario General Contractors Association,pending,,,,,,,
barrie-chamber,backlink,Barrie Chamber of Commerce,pending,,,,,,,
orillia-chamber,backlink,Orillia & District Chamber of Commerce,pending,,,,,,,
ogca,backlink,Ontario General Contractors Association,pending,,,,,,,
simcoe-construction,backlink,Local GC / builder partners (Simcoe County),pending,,,,,,,
aggregate-suppliers,backlink,Aggregate / equipment suppliers in Central Ontario,pending,,,,,,,
barrie-today,backlink,Barrie Today / local news (project features),pending,,,,,,,
resource-excavation-barrie,backlink,Resource article outreach — excavation Barrie guide,pending,,,,,,,
411-ca,directory,411.ca,pending,,,,,,,
canpages,directory,Canpages,pending,,,,,,,
profile-canada,directory,ProfileCanada,pending,,,,,,,
ibegin,directory,iBegin,pending,,,,,,,
tupalo,directory,Tupalo,pending,,,,,,,
showmelocal,directory,ShowMeLocal,pending,,,,,,,
ezlocal,directory,EZlocal,pending,,,,,,,
find-open,directory,FindOpen Canada,pending,,,,,,,
kompass-ca,directory,Kompass Canada,pending,,,,,,,
dnb-canada,directory,Dun & Bradstreet Canada,pending,,,,,,,
